"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050803","regulation of synapse structure or activity","80/3301","329/18860",0.243161094224924,1.38928150169102,3.28097967395363,0.00100920655954846,0.0276649313834966,0.0244286581891173,"ABI2/ADAM10/ADGRB2/ADGRB3/AGAP1/AGO2/AKT1/AMIGO1/ANAPC2/ARF4/ARHGAP12/ASIC1/CAMK2B/CAPRIN1/CARMIL3/CBLN1/CBLN2/CC2D1A/CDC42/CDK5R1/CFL1/CHD4/CHMP2B/CLSTN1/CNTNAP1/CRIPT/CRMP1/CRTAC1/CTNNA2/CUX2/DAB1/DAG1/DCTN1/DISC1/EPHB2/EPHB3/ETV5/FARP1/IL10RA/KIF1A/KIF5B/LINGO2/LRFN2/LRFN4/LRFN5/LRP8/LRRC24/MAPRE3/MEF2C/MRTFB/NAE1/NCKIPSD/NECTIN1/NF1/NRCAM/NRXN2/NTRK2/PAFAH1B1/PRKCA/PUM2/RAC1/RHOA/ROCK1/RTN4RL2/SENP1/SETD5/SIPA1L1/SIX4/SLITRK4/SRCIN1/SRGAP1/STAU2/STRN4/TANC1/TANC2/TUBB/UBE2M/VPS35/WNT7A/ZDHHC17",80
"GO:0007034","vacuolar transport","48/3301","178/18860",0.269662921348315,1.54069757547083,3.3384431991733,0.00103785818198977,0.028323335118319,0.0250100411524602,"ADRB2/AP3B1/ATP13A2/ATP6V0D1/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHMP7/DENND3/GAK/GNPTAB/GNPTG/HGS/HOOK1/HOOK3/LEPROTL1/LIPA/LRP1/LYPLA1/LYSET/LYST/MFSD1/MVB12B/NAGPA/NCOA4/PINK1/PLEKHF2/PRKN/PSAP/PTPN23/RAB12/RBSN/SLC30A4/SMURF1/SNX32/TMEM106B/TPCN2/VPS13C/VPS28/VPS35/VPS37C/VPS4B/VTA1/VTI1B/ZDHHC12/ZFYVE16",48
"GO:0090398","cellular senescence","33/3301","111/18860",0.297297297297297,1.69858437656075,3.40002848515478,0.00104655822262975,0.0284338240663808,0.0251076049854754,"ATM/BCL2L12/BMPR1A/CDKN2A/DNAJA3/FBXO5/FZR1/HMGA1/HMGA2/ID2/ING2/KRAS/MAP2K3/MAP2K7/MNT/MORC3/NEK6/NPM1/NSMCE2/NUAK1/NUP62/OPA1/PML/RSL1D1/SIRT6/SMC5/SMC6/TBX3/TWIST1/ULK3/VASH1/WNT16/YBX1",33
"GO:0006360","transcription by RNA polymerase I","24/3301","73/18860",0.328767123287671,1.87838471530005,3.46344850157492,0.00106251123221561,0.0287395184182923,0.0253775388858951,"DDX11/DEK/DHX33/ERCC2/ERCC6/GTF2H5/HEATR1/LYAR/MYBBP1A/MYO1C/NCL/POLR1A/POLR2E/POLR2F/PRR7/PWP1/SF3B1/SIRT7/SMARCA4/SMARCA5/SMARCB1/SPTY2D1/TAF1B/WDR43",24
"GO:0051985","negative regulation of chromosome segregation","19/3301","53/18860",0.358490566037736,2.04820723279967,3.51978856977792,0.00107564935560745,0.0289667159067329,0.0255781585696964,"APC/ATM/BUB3/CCNB1/CENPF/CHFR/FBXO5/GEN1/HASPIN/KLHL22/KNL1/MAD1L1/MAD2L1/RAD21/SKA1/SKA3/SPC24/SPDL1/ZWINT",19
"GO:0006513","protein monoubiquitination","21/3301","61/18860",0.344262295081967,1.96691514245559,3.48399206477567,0.00110120574373071,0.0293959419712918,0.0259571733111977,"ATM/DTL/ITCH/KLHL22/PRKN/RAD18/RBX1/RNF126/RNF152/SKP1/STUB1/TRIM37/TRIM41/UBB/UBE2D3/UBE2E2/UBE2R2/UBE2T/UBE3D/USP10/ZC4H2",21
"GO:0010965","regulation of mitotic sister chromatid separation","21/3301","61/18860",0.344262295081967,1.96691514245559,3.48399206477567,0.00110120574373071,0.0293959419712918,0.0259571733111977,"ANAPC11/ANAPC7/APC/ATM/BUB3/CCNB1/CENPF/FBXO5/GEN1/HASPIN/KLHL22/KNL1/MAD1L1/MAD2L1/NSMCE2/RAD21/SKA1/SKA3/SPC24/SPDL1/ZWINT",21
"GO:0042274","ribosomal small subunit biogenesis","32/3301","107/18860",0.299065420560748,1.70868640768728,3.38611627614,0.00110815171572198,0.0294527453835152,0.0260073317996445,"AATF/BYSL/DDX52/ERCC2/FBL/GTF2H5/HEATR1/KRI1/MPHOSPH10/NAT10/NOB1/NOL7/NOP56/NPM1/PRKDC/PWP2/RIOK2/RPP40/RPS15/RPS16/RPS23/RPS5/RPS9/RPSA2/RRP7A/RRP7BP/RRP9/TSR3/UTP18/UTP20/UTP4/WDR43",32
"GO:0006913","nucleocytoplasmic transport","84/3301","350/18860",0.24,1.37122084216904,3.22889867281063,0.00116451686015984,0.0306840153713668,0.027094566510434,"ADAR/AKIRIN2/AKT1/ALKBH5/ALYREF/APPL2/BACH2/BAG3/CABP1/CCHCR1/CDAN1/CDK1/CDKN2A/CFL1/CITED1/CTDSPL2/DDX25/DDX39A/DDX39B/DHX9/EIF4ENIF1/EMD/FAM53B/FAM53C/FMR1/FYTTD1/GLE1/HEATR3/HNRNPA1/HSP90AA1/HSPA12A/ING1/IPO11/IPO5/IPO9/IWS1/JAK2/KHDRBS1/NEMF/NF1/NPM1/NSUN2/NUP107/NUP155/NUP210/NUP214/NUP50/NUP62/NXF1/PCID2/PKD1/PML/POLA2/PPM1A/PPP1R10/PPP1R12A/PTTG1IP/RAE1/RAN/RANBP1/RANBP2/RANBP3/RBM33/RIOK2/RPS15/SEH1L/SIRT6/SIRT7/SMG6/SMG7/SMURF1/SUFU/TBK1/THOC3/THOC6/TRIM28/TXN/UBE2I/UPF1/UPF2/XPO5/XPO7/YTHDC1/YWHAE",84
"GO:0051169","nuclear transport","84/3301","350/18860",0.24,1.37122084216904,3.22889867281063,0.00116451686015984,0.0306840153713668,0.027094566510434,"ADAR/AKIRIN2/AKT1/ALKBH5/ALYREF/APPL2/BACH2/BAG3/CABP1/CCHCR1/CDAN1/CDK1/CDKN2A/CFL1/CITED1/CTDSPL2/DDX25/DDX39A/DDX39B/DHX9/EIF4ENIF1/EMD/FAM53B/FAM53C/FMR1/FYTTD1/GLE1/HEATR3/HNRNPA1/HSP90AA1/HSPA12A/ING1/IPO11/IPO5/IPO9/IWS1/JAK2/KHDRBS1/NEMF/NF1/NPM1/NSUN2/NUP107/NUP155/NUP210/NUP214/NUP50/NUP62/NXF1/PCID2/PKD1/PML/POLA2/PPM1A/PPP1R10/PPP1R12A/PTTG1IP/RAE1/RAN/RANBP1/RANBP2/RANBP3/RBM33/RIOK2/RPS15/SEH1L/SIRT6/SIRT7/SMG6/SMG7/SMURF1/SUFU/TBK1/THOC3/THOC6/TRIM28/TXN/UBE2I/UPF1/UPF2/XPO5/XPO7/YTHDC1/YWHAE",84
"GO:0010569","regulation of double-strand break repair via homologous recombination","27/3301","86/18860",0.313953488372093,1.79374819469787,3.39816780852765,0.00118291809498229,0.0310351000627757,0.0274045809400008,"ACTB/ATM/C1QBP/EPC1/EPC2/ERCC6/FIGNL1/FUS/H2AX/MBTD1/MEAF6/MORF4L1/MRGBP/MRNIP/PARP1/PIAS4/PPP4R2/RAD51AP1/RECQL5/RNF126/RTEL1/SENP3/SHLD2/SIRT6/SMCHD1/TEX15/YEATS4",27
"GO:0015980","energy derivation by oxidation of organic compounds","101/3301","434/18860",0.232718894009217,1.32962082429986,3.19989129149185,0.00120263871413491,0.0314176515363535,0.0277423811339803,"ACO2/ACTN3/AKT1/AKT2/ANTKMT/ATP5F1C/ATP5F1D/ATP5ME/ATP5MG/ATP5PO/ATPSCKMT/BCKDK/BID/CCNB1/CDK1/CISD1/COQ10B/COX6C/COX7A2L/COX8C/DYRK2/ENO1/ENO2/ENO3/EPM2AIP1/ETFB/ETFDH/FKRP/FOXK1/FOXK2/GAA/GPI/GRB10/HDAC4/IDH3A/IDH3G/IFNAR1/IGF2/INPP5K/IRS1/ISCU/KHK/LDHA/LIPA/MDH1B/MFSD8/MLST8/MPC2/MT3/MTCH2/MTFR1/MYBBP1A/NDUFA11/NDUFA12/NDUFA3/NDUFA9/NDUFB10/NDUFB11/NDUFB2/NDUFB4/NDUFS7/NDUFS8/NOS2/NR1D1/NR4A3/OPN3/OXA1L/PDK2/PFKM/PFKP/PGAM1/PHKB/PHKG2/PINK1/PPARA/PPP1CB/PPP1R3D/PPP2CA/PRELID1/PUM2/PYGB/RAN/RHOA/SCO2/SDHA/SDHAF4/SDHD/SIRT6/SLC25A51/SOD2/SUCLA2/TIGAR/TMEM135/UQCC2/UQCR10/UQCR11/UQCRB/UQCRC1/UQCRFS1/WDR45B/WIPI2",101
"GO:1900407","regulation of cellular response to oxidative stress","11/3301","24/18860",0.458333333333333,2.61865091386449,3.6547336237886,0.00123075929275248,0.0320153648888049,0.0282701733406444,"BMP7/FADS2/FUT8/MAPKAP1/MIR132/NFE2L2/OXR1/PINK1/PNPLA8/PRKN/TBC1D24",11
"GO:0099003","vesicle-mediated transport in synapse","65/3301","259/18860",0.250965250965251,1.43386992826557,3.23841526292711,0.00123599314800555,0.0320153648888049,0.0282701733406444,"ACTB/ACTG1/AP2A2/AP2M1/ARHGDIA/ATP6V0D1/ATP6V1B2/ATP6V1D/ATP6V1G1/ATP8A1/BRSK1/BSN/BTBD9/CACNB4/CADPS2/CALM3/CALY/CANX/CASK/CLSTN1/CTBP1/DGKQ/DNAJC5/DNM1/DNM2/DNM3/ERC2/FCHO2/FMR1/GAK/GRIPAP1/MX1/NAPB/NRG1/NSG1/PCDH17/PCLO/PFN2/PPFIA3/PPP3CC/PRKAR1B/PRKN/RAB4A/RAB8A/RABEP1/RAC1/RIMS2/RIMS4/ROCK1/SLC2A4/SNAP23/SNAP47/STX3/STXBP5/SUSD4/SYN1/SYN3/SYNGR3/SYP/SYT17/TBC1D24/UNC13B/VAC14/VPS35/WNT7A",65
"GO:1902903","regulation of supramolecular fiber organization","93/3301","395/18860",0.235443037974684,1.34518500339368,3.19350105020448,0.00125663423659452,0.0324126796974782,0.0286210098390261,"ABI2/ABITRAM/ACTG1/AKAP13/APC/APC2/ARAP1/ARF1/ARHGAP28/ARHGAP35/ARHGEF10/ARHGEF18/ARHGEF5/ARPC2/ARPC5/BAG4/BBOF1/BRK1/CAMSAP1/CAMSAP3/CAPG/CAPZA1/CAPZA2/CARMIL2/CARMIL3/CCDC88C/CD47/CDC42/CDC42EP3/CDC42EP4/CDK5R1/CFL1/CKAP2/CLASP1/CLIP3/CTNNA2/CYRIB/DAPK3/DCTN1/DYRK1A/EML2/FKBP4/GBA2/GRB2/HAUS3/HAUS6/HDGFL3/INPP5K/ITGB1BP1/KANK1/KANK2/KANK3/KIRREL1/MAPRE3/MAPT/MECP2/MLST8/MTPN/MTSS1/NCKAP1/NUMA1/PFDN1/PFN1/PFN2/PPM1F/PPP2CA/PRKCE/PRKN/PTGER4/PXN/PYCARD/RAC1/RASA1/RHOA/RHPN1/RNH1/ROCK1/SKA1/SMAD4/SORBS3/SPAST/SPECC1L/SPTAN1/SPTBN1/SPTBN2/SPTBN4/SSH1/SSH2/SVIL/TAOK1/TMOD3/TTBK2/TWF2",93
"GO:0000723","telomere maintenance","45/3301","166/18860",0.271084337349398,1.54881872232949,3.27132050061202,0.00130143271758283,0.0332613916313753,0.0293704385452388,"ACD/ACTR8/ATM/CCNE2/CCT3/CCT5/DKC1/DNA2/ERCC4/HNRNPA1/HNRNPU/HSP90AA1/INO80C/INO80E/LTO1/MAP2K7/NABP2/NAT10/NHEJ1/NSMCE2/NSMCE3/NSMCE4A/PARN/PARP1/PARP3/PCNA/PKIB/PML/PPP1R10/PRKDC/PTGES3/RECQL4/RPA1/RTEL1/SHLD2/SIRT6/SLX4/SMC5/SMC6/SMG6/TNKS2/UPF1/XRCC1/YLPM1/YY1",45
"GO:0030833","regulation of actin filament polymerization","37/3301","130/18860",0.284615384615385,1.62612728077739,3.29956483273904,0.00131510351589503,0.0332613916313753,0.0293704385452388,"ABITRAM/ARHGAP28/ARPC2/ARPC5/BAG4/CAPG/CAPZA1/CAPZA2/CARMIL2/CDC42EP3/CDC42EP4/CFL1/CYRIB/GBA2/GRB2/KANK1/KANK2/KANK3/KIRREL1/MLST8/MTPN/NCKAP1/PFN1/PFN2/PRKCE/PYCARD/RAC1/RASA1/SPTAN1/SPTBN1/SPTBN2/SPTBN4/SSH1/SSH2/SVIL/TMOD3/TWF2",37
